Unnamed: 0,question,answer,questions_german,answers_german
0,"hi, how are you doing?",i'm fine. how about yourself?,"Hallo, wie machst du?","ich bin gut, wie es mit mir ist?"
1,i'm fine. how about yourself?,i'm pretty good. thanks for asking.,"ich bin gut, wie es mit mir ist?","ich bin ziemlich gut, danke für die Frage."
2,i'm pretty good. thanks for asking.,no problem. so how have you been?,"ich bin ziemlich gut, danke für die Frage.","ich habe es nicht geschafft, ich habe es nicht geschafft"
3,no problem. so how have you been?,i've been great. what about you?,"ich habe es nicht geschafft, ich habe es nicht geschafft","ich war großartig, was ist mit euch?"
4,i've been great. what about you?,i've been good. i'm in school right now.,"ich war großartig, was ist mit euch?",Ich bin jetzt in der Schule.
5,i've been good. i'm in school right now.,what school do you go to?,Ich bin jetzt in der Schule.,Welche Schule gehen Sie?
6,what school do you go to?,i go to pcc.,Welche Schule gehen Sie?,ich lasse mich auf pcc.
7,i go to pcc.,do you like it there?,ich lasse mich auf pcc.,Magst du es dort?
8,do you like it there?,it's okay. it's a really big campus.,Magst du es dort?,The staff were very helpful and helpful.
9,it's okay. it's a really big campus.,good luck with school.,The staff were very helpful and helpful.,Vielen Glück bei der Schule.
10,good luck with school.,thank you very much.,Vielen Glück bei der Schule.,Vielen Dank.
11,how's it going?,i'm doing well. how about you?,Wie geht es?,"ich mache gut, wie mache ich mit euch?"
12,i'm doing well. how about you?,"never better, thanks.","ich mache gut, wie mache ich mit euch?","nie besser, danke."
13,"never better, thanks.",so how have you been lately?,"nie besser, danke.",Also wie haben Sie in letzter Zeit gewesen?
14,so how have you been lately?,i've actually been pretty good. you?,Also wie haben Sie in letzter Zeit gewesen?,ich habe mich wirklich gut gefühlt.
15,i've actually been pretty good. you?,i'm actually in school right now.,ich habe mich wirklich gut gefühlt.,ich bin eigentlich in der Schule gerade.
16,i'm actually in school right now.,which school do you attend?,ich bin eigentlich in der Schule gerade.,welche Schule besuchen Sie?
17,which school do you attend?,i'm attending pcc right now.,welche Schule besuchen Sie?,ich nehme pcc gerade an.
18,i'm attending pcc right now.,are you enjoying it there?,ich nehme pcc gerade an.,geniessen Sie es dort?
19,are you enjoying it there?,it's not bad. there are a lot of people there.,geniessen Sie es dort?,"Sehr freundliches Personal, freundliches Personal, freundliches Personal"
20,it's not bad. there are a lot of people there.,good luck with that.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal",Vielen Glück damit.
21,good luck with that.,thanks.,Vielen Glück damit.,Vielen Dank.
22,how are you doing today?,i'm doing great. what about you?,Wie handeln Sie heute?,"ich mache es mir gut, was ich mit Ihnen?"
23,i'm doing great. what about you?,"i'm absolutely lovely, thank you.","ich mache es mir gut, was ich mit Ihnen?","ich bin absolut nett, vielen Dank."
24,"i'm absolutely lovely, thank you.",everything's been good with you?,"ich bin absolut nett, vielen Dank.",alles war gut mit Ihnen?
25,everything's been good with you?,i haven't been better. how about yourself?,alles war gut mit Ihnen?,"ich habe nicht besser gewesen, wie wäre es mit mir?"
26,i haven't been better. how about yourself?,i started school recently.,"ich habe nicht besser gewesen, wie wäre es mit mir?",ich habe vor kurzem die Schule begonnen.
27,i started school recently.,where are you going to school?,ich habe vor kurzem die Schule begonnen.,Wo gehen Sie zur Schule?
28,where are you going to school?,i'm going to pcc.,Wo gehen Sie zur Schule?,ich werde pcc.
29,i'm going to pcc.,how do you like it so far?,ich werde pcc.,Wie gefällt es Ihnen bisher?
30,how do you like it so far?,i like it so far. my classes are pretty good right now.,Wie gefällt es Ihnen bisher?,"Ich habe es so weit gesehen, meine Klassen sind jetzt ziemlich gut."
31,i like it so far. my classes are pretty good right now.,i wish you luck.,"Ich habe es so weit gesehen, meine Klassen sind jetzt ziemlich gut.",ich wünsche Ihnen viel Glück.
32,it's an ugly day today.,i know. i think it may rain.,es ist ein hässlicher Tag heute.,"Ich kenne es, ich denke, es könnte regn"
33,i know. i think it may rain.,"it's the middle of summer, it shouldn't rain today.","Ich kenne es, ich denke, es könnte regn","es ist die Mitte des Sommers, sollte es nicht regnen heute"
34,"it's the middle of summer, it shouldn't rain today.",that would be weird.,"es ist die Mitte des Sommers, sollte es nicht regnen heute",Das wäre seltsam.
35,that would be weird.,"yeah, especially since it's ninety degrees outside.",Das wäre seltsam.,"ich habe es nicht geschafft, ich habe es nicht geschafft"
36,"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside.","ich habe es nicht geschafft, ich habe es nicht geschafft","i know, it would be horrible if it rained and it was hot outside."
37,"i know, it would be horrible if it rained and it was hot outside.","yes, it would be. ","i know, it would be horrible if it rained and it was hot outside.","ja, das wäre es."
38,"yes, it would be. ",i really wish it wasn't so hot every day. ,"ja, das wäre es.","Sehr freundliches Personal, freundliches Personal, freundliches Personal"
39,i really wish it wasn't so hot every day. ,me too. i can't wait until winter.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal","Ich kann auch nicht warten, bis der Winter."
40,me too. i can't wait until winter.,"i like winter too, but sometimes it gets too cold.","Ich kann auch nicht warten, bis der Winter.","ich mag auch Winter, aber manchmal wird es zu kalt."
41,"i like winter too, but sometimes it gets too cold.",i'd rather be cold than hot.,"ich mag auch Winter, aber manchmal wird es zu kalt.",The hotel is very clean and the staff were very helpful.
42,i'd rather be cold than hot.,me too.,The hotel is very clean and the staff were very helpful.,Auch ich.
43,it doesn't look very nice outside today.,you're right. i think it's going to rain later.,"Leider ist es nicht sehr schön, dass es heute draußen ist.","ich hoffe, es wird später regnen."
44,you're right. i think it's going to rain later.,"in the middle of the summer, it shouldn't be raining.","ich hoffe, es wird später regnen.",Mitte des Sommers sollte es nicht regnen.
45,"in the middle of the summer, it shouldn't be raining.",that wouldn't seem right.,Mitte des Sommers sollte es nicht regnen.,Das scheint nicht richtig zu sein.
46,that wouldn't seem right.,"considering that it's over ninety degrees outside, that would be weird.",Das scheint nicht richtig zu sein.,", wenn man bedenkt, dass es über 90 Grad außerhalb ist, wäre"
47,"considering that it's over ninety degrees outside, that would be weird.","exactly, it wouldn't be nice if it started raining. it's too hot.",", wenn man bedenkt, dass es über 90 Grad außerhalb ist, wäre","Sehr freundliches Personal, freundliches Personal, freundliches Personal"
48,"exactly, it wouldn't be nice if it started raining. it's too hot.","i know, you're absolutely right.","Sehr freundliches Personal, freundliches Personal, freundliches Personal","ich weiß, Sie haben vollkommen Recht."
49,"i know, you're absolutely right.",i wish it would cool off one day.,"ich weiß, Sie haben vollkommen Recht.","ich wünschte, es würde sich ein Tag abkühlen."
50,i wish it would cool off one day.,"that's how i feel, i want winter to come soon.","ich wünschte, es würde sich ein Tag abkühlen.","So fühle ich mich, ich will, dass der Winter bald kommen wird"
51,"that's how i feel, i want winter to come soon.","i enjoy the winter, but it gets really cold sometimes.","So fühle ich mich, ich will, dass der Winter bald kommen wird","ich geniesse den Winter, aber es wird manchmal wirklich"
52,"i enjoy the winter, but it gets really cold sometimes.","i know what you mean, but i'd rather be cold than hot.","ich geniesse den Winter, aber es wird manchmal wirklich","ich weiß, was du meinenst, aber ich würde lieber kalt"
53,"i know what you mean, but i'd rather be cold than hot.",that's exactly how i feel.,"ich weiß, was du meinenst, aber ich würde lieber kalt","Das ist genau das, was ich fühle."
54,i wish it was a nicer day today.,that is true. i hope it doesn't rain.,"ich wünschte, es war ein netteser Tag","Ich hoffe, dass es nicht regnet."
55,that is true. i hope it doesn't rain.,it wouldn't rain in the middle of the summer.,"Ich hoffe, dass es nicht regnet.",es würde nicht mitten im Sommer regnen.
56,it wouldn't rain in the middle of the summer.,it wouldn't seem right if it started raining right now.,es würde nicht mitten im Sommer regnen.,"es schien nicht richtig, wenn es jetzt regnet."
57,it wouldn't seem right if it started raining right now.,it would be weird if it started raining in ninety degree weather.,"es schien nicht richtig, wenn es jetzt regnet.","es wäre seltsam, wenn es bei 90 Grad Wetter an"
58,it would be weird if it started raining in ninety degree weather.,any rain right now would be pointless.,"es wäre seltsam, wenn es bei 90 Grad Wetter an",irgendein Regen wäre momentan sinnlos.
59,any rain right now would be pointless.,"that's right, it really would be.",irgendein Regen wäre momentan sinnlos.,"Das ist richtig, es wäre wirklich."
60,"that's right, it really would be.",i want it to cool down some.,"Das ist richtig, es wäre wirklich.",ich möchte es kühler abkühlen.
61,i want it to cool down some.,"i know what you mean, i can't wait until it's winter.",ich möchte es kühler abkühlen.,"ich weiß, was du meinen, ich kann nicht warten, bis es"
62,"i know what you mean, i can't wait until it's winter.",winter is great. i wish it didn't get so cold sometimes though.,"ich weiß, was du meinen, ich kann nicht warten, bis es","ich hoffe, dass es manchmal nicht so kalt wird"
63,winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer.,"ich hoffe, dass es manchmal nicht so kalt wird",ich würde lieber mit dem Winter als mit dem Sommer.
64,it's such a nice day.,"yes, it is.",es ist so ein nettes Tag.,"ja, das ist es."
65,"yes, it is.",it looks like it may rain soon.,"ja, das ist es.","es sieht so aus, als ob es bald regnet."
66,it looks like it may rain soon.,"yes, and i hope that it does.","es sieht so aus, als ob es bald regnet.","Ja, und ich hoffe, dass es es tut."
67,"yes, and i hope that it does.",why is that?,"Ja, und ich hoffe, dass es es tut.",Warum?
68,why is that?,i really love how rain clears the air.,Warum?,"ich liebe es, wie Regen die Luft reinigt."
69,i really love how rain clears the air.,me too. it always smells so fresh after it rains.,"ich liebe es, wie Regen die Luft reinigt.","Sehr freundliches Personal, freundliches Personal, freundliches Personal"
70,me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains.","Sehr freundliches Personal, freundliches Personal, freundliches Personal","ich sah mich zwar recht nett, aber ich liebe die"
71,"yes, but i love the night air after it rains.",really? why is it?,"ich sah mich zwar recht nett, aber ich liebe die",Warum ist es wirklich?
72,really? why is it?,because you can see the stars perfectly.,Warum ist es wirklich?,weil man die Sterne perfekt sehen kann.
73,because you can see the stars perfectly.,i really hope it rains today.,weil man die Sterne perfekt sehen kann.,"ich hoffe wirklich, dass es heute regnet."
74,i really hope it rains today.,"yeah, me too.","ich hoffe wirklich, dass es heute regnet.","oh, auch ich."
75,isn't it a nice day?,it really is.,ist es nicht ein nettes Tag?,Das ist wirklich der Fall.
76,it really is.,it seems that it may rain today.,Das ist wirklich der Fall.,"es scheint, dass es heute regnet."
77,it seems that it may rain today.,hopefully it will.,"es scheint, dass es heute regnet.",Hoffentlich wird es so sein.
78,hopefully it will.,how come?,Hoffentlich wird es so sein.,wie kommen?
79,how come?,i like how clear the sky gets after it rains.,wie kommen?,"ich mag, wie klar der Himmel nach Regen wird."
80,i like how clear the sky gets after it rains.,i feel the same way. it smells so good after it rains.,"ich mag, wie klar der Himmel nach Regen wird.","Sehr freundliches Personal, freundliches Personal, freundliches Personal"
81,i feel the same way. it smells so good after it rains.,i especially love the night air when it rains.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal","ich liebe besonders die Nachtluft, wenn es regnet."
82,i especially love the night air when it rains.,really? why?,"ich liebe besonders die Nachtluft, wenn es regnet.",Warum?
83,really? why?,the stars look so much closer after it rains.,Warum?,"Die Sterne schauen so viel näher, nachdem es regnet."
84,the stars look so much closer after it rains.,i really want it to rain today.,"Die Sterne schauen so viel näher, nachdem es regnet.",Ich möchte es wirklich heute regnen.
85,i really want it to rain today.,"yeah, so do i.",Ich möchte es wirklich heute regnen.,"ich habe es nicht geschafft, ich habe es nicht geschafft"
86,don't you think it's nice out?,"yes, i think so too.","ich hoffe, dass ich es nicht glaubt,","ja, ich denke auch das."
87,"yes, i think so too.",i think that it's going to rain.,"ja, ich denke auch das.","ich denke, dass es regnet."
88,i think that it's going to rain.,i hope that it does rain.,"ich denke, dass es regnet.","ich hoffe, dass es regnet."
89,i hope that it does rain.,you like the rain?,"ich hoffe, dass es regnet.",Sie mag den Regen?
90,you like the rain?,the sky looks so clean after it rains. i love it.,Sie mag den Regen?,"ich habe es gesehen, wenn ich es sah"
91,the sky looks so clean after it rains. i love it.,i understand. rain does make it smell cleaner.,"ich habe es gesehen, wenn ich es sah","Sehr freundliches Personal, freundliches Personal, freundliches Personal"
92,i understand. rain does make it smell cleaner.,i love most how it is at night after it rains.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal","ich liebe es am meisten, wie es nach dem Regen ist."
93,i love most how it is at night after it rains.,how come?,"ich liebe es am meisten, wie es nach dem Regen ist.",wie kommen?
94,how come?,you can see the stars so much more clearly after it rains.,wie kommen?,"Sie können die Sterne so deutlicher sehen, nachdem es regnet."
95,you can see the stars so much more clearly after it rains.,i would love for it to rain today.,"Sie können die Sterne so deutlicher sehen, nachdem es regnet.",ich würde es gerne heutzutage regnen.
96,i really want to go to the beach this weekend.,that sounds like fun. what's the weather going to be like?,ich möchte hier am Strand fahren.,"ich hoffe, dass ich es nicht erlauben werde,"
97,that sounds like fun. what's the weather going to be like?,i heard that it's going to be warm this weekend.,"ich hoffe, dass ich es nicht erlauben werde,","ich habe gehört, dass es dieses Wochenende warm sein wird."
98,i heard that it's going to be warm this weekend.,is it going to be perfect beach weather?,"ich habe gehört, dass es dieses Wochenende warm sein wird.",wird es perfektes Strandwetter sein?
99,is it going to be perfect beach weather?,i believe so.,wird es perfektes Strandwetter sein?,"Ich glaube, das ist ein guter Grund."
100,i believe so.,good. i hope it doesn't cool off this weekend.,"Ich glaube, das ist ein guter Grund.","ich hoffe, dass es dieses Wochenende nicht abkühlt."
101,good. i hope it doesn't cool off this weekend.,i know. i really want to go to the beach.,"ich hoffe, dass es dieses Wochenende nicht abkühlt.","i love the location, the location, the location, the hotel, the hotel and the"
102,i know. i really want to go to the beach.,but you know that california weather is really unpredictable.,"i love the location, the location, the location, the hotel, the hotel and the","aber Sie wissen, dass Kalifornien Wetter ist wirklich unvorherseh"
103,but you know that california weather is really unpredictable.,"you're right. one minute it's hot, and then the next minute it's cold.","aber Sie wissen, dass Kalifornien Wetter ist wirklich unvorherseh","Sehr freundliches Personal, freundliches Personal, freundliches Personal"
104,"you're right. one minute it's hot, and then the next minute it's cold.",i really wish the weather would just stay the same.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal",The hotel is very clean and the staff were very helpful.
105,i really wish the weather would just stay the same.,i do too. that way we can have our activities planned ahead of time.,The hotel is very clean and the staff were very helpful.,"ich tue es auch, so können wir unsere Aktivitäten im Voraus"
106,i do too. that way we can have our activities planned ahead of time.,"yeah, that would make things a lot easier.","ich tue es auch, so können wir unsere Aktivitäten im Voraus",Eigentlich würde das die Dinge viel einfacher machen.
107,i would like to take a trip to the beach this weekend.,a trip to the beach would be fun. how is the weather going to be?,ich möchte an diesem Wochenende einen Ausflug zum Strand machen.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal"
108,a trip to the beach would be fun. how is the weather going to be?,the forecast says that it will be warm on the weekend.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal","Die Prognose sagt, dass es am Wochenende warm sein wird."
109,the forecast says that it will be warm on the weekend.,so do you think it'll be perfect weather for the beach?,"Die Prognose sagt, dass es am Wochenende warm sein wird.",Sollten Sie es für das perfekte Wetter für den Strand sein?
110,so do you think it'll be perfect weather for the beach?,it sounds like it will be.,Sollten Sie es für das perfekte Wetter für den Strand sein?,"es klingt so, als würde es sein."
111,it sounds like it will be.,i really hope it doesn't get cold.,"es klingt so, als würde es sein.","ich hoffe wirklich, dass es nicht kalt wird."
112,i really hope it doesn't get cold.,"that would ruin things, i want to go so badly.","ich hoffe wirklich, dass es nicht kalt wird.","Dass ich die Dinge ruinieren würde, möchte ich so schlecht gehen."
113,"that would ruin things, i want to go so badly.","the weather in california is unpredictable, so you never know.","Dass ich die Dinge ruinieren würde, möchte ich so schlecht gehen.","Das Wetter in Kalifornien ist unvorhersehbar, so dass"
114,"the weather in california is unpredictable, so you never know.",that is true. the weather is constantly changing.,"Das Wetter in Kalifornien ist unvorhersehbar, so dass",Das Wetter ändert sich ständig.
115,that is true. the weather is constantly changing.,it would be nice if the weather would never change.,Das Wetter ändert sich ständig.,The hotel is very quiet and the staff were very helpful.
116,it would be nice if the weather would never change.,"that would be great, then we could plan things sooner.",The hotel is very quiet and the staff were very helpful.,"Das wäre großartig, dann könnten wir die Dinge früher planen."
117,"that would be great, then we could plan things sooner.",true. predictable weather would make life easier.,"Das wäre großartig, dann könnten wir die Dinge früher planen.",Eigentlich würde das Wetter vorhersehbar das Leben erleichtern.
118,it would be nice to go to the beach sometime this weekend.,what's the weather going to be like? i may want to go too.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal",Wie wird das Wetter aussehen?
119,what's the weather going to be like? i may want to go too.,the weather this weekend is supposed to be warm.,Wie wird das Wetter aussehen?,Das Wetter dieses Wochenende soll warm sein.
120,the weather this weekend is supposed to be warm.,will it be good beach weather?,Das Wetter dieses Wochenende soll warm sein.,wird es gut am Strand Wetter?
121,will it be good beach weather?,i think it will be.,wird es gut am Strand Wetter?,"Ich glaube, das wird es sein."
122,i think it will be.,it wouldn't be good if it got cold this weekend.,"Ich glaube, das wird es sein.",The hotel is very clean and the staff were very helpful.
123,it wouldn't be good if it got cold this weekend.,"i want this trip to be perfect, i hope it stays warm.",The hotel is very clean and the staff were very helpful.,"ich möchte, dass diese Reise perfekt ist, hoffe ich, dass e"
124,"i want this trip to be perfect, i hope it stays warm.","this california weather is so uncertain, it's impossible to know what'll happen.","ich möchte, dass diese Reise perfekt ist, hoffe ich, dass e","dieser Kalifornien Wetter ist so unsicher, es ist unmöglich"
125,"this california weather is so uncertain, it's impossible to know what'll happen.",i know. every day the weather seems different.,"dieser Kalifornien Wetter ist so unsicher, es ist unmöglich","ich weiß, jedes Mal scheint das Wetter anders zu sein."
126,i know. every day the weather seems different.,i would love it if it wasn't always so unpredictable.,"ich weiß, jedes Mal scheint das Wetter anders zu sein.","ich würde es gerne, wenn es nicht immer so unvorhers"
127,i would love it if it wasn't always so unpredictable.,that would make it easier for us to make plans.,"ich würde es gerne, wenn es nicht immer so unvorhers","die es uns erleichtern würde, Pläne zu erarbeiten."
128,"hello, may i speak to alice please?",this is she. how's it going?,"Hallo, darf ich bitte mit alice sprechen?",Wie geht es?
129,this is she. how's it going?,i've been trying to call you all day.,Wie geht es?,"ich habe mich den ganzen Tag bemüht, Sie anzurufen."
130,i've been trying to call you all day.,sorry about that. i was cleaning up.,"ich habe mich den ganzen Tag bemüht, Sie anzurufen.",The hotel is very clean and the staff were very helpful.
131,sorry about that. i was cleaning up.,it's okay.,The hotel is very clean and the staff were very helpful.,es ist okay.
132,it's okay.,so what were you calling me about?,es ist okay.,"Also, worüber haben Sie mich gerufen?"
133,so what were you calling me about?,"oh, i just wanted to see if you wanted to hang out tomorrow.","Also, worüber haben Sie mich gerufen?","oh, ich wollte nur sehen, ob Sie morgen ausspannen"
134,"oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?","oh, ich wollte nur sehen, ob Sie morgen ausspannen","sicherlich, was wollten Sie tun?"
135,"sure, what did you want to do?",maybe we can go see a movie or something.,"sicherlich, was wollten Sie tun?",Vielleicht können wir einen Film oder etwas sehen.
136,maybe we can go see a movie or something.,that sounds like fun. let's do it.,Vielleicht können wir einen Film oder etwas sehen.,"Eigentlich hat es ziemlich viel Spaß gemacht, aber ich hoffe"
137,that sounds like fun. let's do it.,i'll see you tomorrow then.,"Eigentlich hat es ziemlich viel Spaß gemacht, aber ich hoffe",ich werde Sie morgen sehen.
138,i'll see you tomorrow then.,see you then. goodbye.,ich werde Sie morgen sehen.,"ich hoffe, dass ich mich recht erfreut habe"
139,"hi, how are you. is alice there?",speaking. what's up?,"hh, wie bist du?",Was ist nun?
140,speaking. what's up?,why haven't you answered the phone?,Was ist nun?,Warum haben Sie nicht das Telefon beantwortet?
141,why haven't you answered the phone?,"my bad, i had chores to do.",Warum haben Sie nicht das Telefon beantwortet?,"ich habe es geschafft, ich habe es geschafft,"
142,"my bad, i had chores to do.",that's all right.,"ich habe es geschafft, ich habe es geschafft,",Das ist alles richtig.
143,that's all right.,what was the reason for your call?,Das ist alles richtig.,Was war der Grund für Ihren Anruf?
144,what was the reason for your call?,i want to do something tomorrow with you.,Was war der Grund für Ihren Anruf?,Ich möchte morgen etwas mit Ihnen tun.
145,i want to do something tomorrow with you.,sounds good. what did you have in mind?,Ich möchte morgen etwas mit Ihnen tun.,"klingt gut, was haben Sie im Sinn?"
146,sounds good. what did you have in mind?,i was thinking about seeing a movie.,"klingt gut, was haben Sie im Sinn?",ich dachte an einen Film.
147,i was thinking about seeing a movie.,"okay, let's go see a movie.",ich dachte an einen Film.,"okay, let's go see a movie."
148,"okay, let's go see a movie.",until then.,"okay, let's go see a movie.",bis dahin.
149,until then.,talk to you later.,bis dahin.,wenden Sie sich später an Sie.
150,is alice available?,you're talking to her.,ist alice verfügbar?,Sie sprechen mit ihr.
151,you're talking to her.,i've called you a hundred times today.,Sie sprechen mit ihr.,ich habe Sie heute hundertmal gerufen.
152,i've called you a hundred times today.,i was busy doing something. i apologize.,ich habe Sie heute hundertmal gerufen.,ich habe mich sehr entschuldigt.
153,i was busy doing something. i apologize.,no problem.,ich habe mich sehr entschuldigt.,kein Problem.
154,no problem.,did you need something?,kein Problem.,benötigen Sie etwas?
155,did you need something?,do you want to do something tomorrow?,benötigen Sie etwas?,Wollen Sie morgen etwas tun?
156,do you want to do something tomorrow?,is there somewhere special you wanted to go?,Wollen Sie morgen etwas tun?,"hat es irgendwo besonderes, was du fahren wolltest?"
157,is there somewhere special you wanted to go?,how about a movie?,"hat es irgendwo besonderes, was du fahren wolltest?",Wie ist es mit einem Film?
158,how about a movie?,a movie sounds good.,Wie ist es mit einem Film?,"ich habe es nicht geschafft, ich habe es nicht geschafft"
159,a movie sounds good.,call me tomorrow then.,"ich habe es nicht geschafft, ich habe es nicht geschafft",rufen Sie mich dann morgen an.
160,have you seen the new girl in school?,"no, i haven't.",Haben Sie das neue Mädchen in der Schule gesehen?,ich habe es nicht getan.
161,"no, i haven't.",she's really pretty.,ich habe es nicht getan.,Sie ist wirklich hübsch.
162,she's really pretty.,describe her to me.,Sie ist wirklich hübsch.,beschreiben Sie mir.
163,describe her to me.,she's not too tall.,beschreiben Sie mir.,Sie ist nicht zu hoch.
164,she's not too tall.,"well, how tall is she?",Sie ist nicht zu hoch.,"ja, wie hoch ist sie?"
165,"well, how tall is she?",she's about five feet even.,"ja, wie hoch ist sie?",Sie ist etwa fünf Fuß sogar.
166,she's about five feet even.,"what does she look like, though?",Sie ist etwa fünf Fuß sogar.,Wie sieht sie aus?
167,"what does she look like, though?",she has pretty light brown eyes.,Wie sieht sie aus?,Sie hat ziemlich hellbraune Augen.
168,she has pretty light brown eyes.,i may know which girl you're talking about.,Sie hat ziemlich hellbraune Augen.,"Vielleicht weiß ich, wovon du redest."
169,i may know which girl you're talking about.,so you have seen her around?,"Vielleicht weiß ich, wovon du redest.",so haben Sie sie umgeben?
170,so you have seen her around?,"yes, i have.",so haben Sie sie umgeben?,"ja, ich habe es."
171,"there's a new girl in school, have you seen her yet?",i haven't seen her yet.,"es gibt ein neues Mädchen in der Schule, haben Sie sie noch gesehen?",ich habe sie noch nicht gesehen.
172,i haven't seen her yet.,i think that she is very pretty.,ich habe sie noch nicht gesehen.,"Ich glaube, dass sie sehr hübsch ist."
173,i think that she is very pretty.,tell me how she looks.,"Ich glaube, dass sie sehr hübsch ist.","erzählen Sie mir, wie sie aussieht."
174,tell me how she looks.,she's kind of short.,"erzählen Sie mir, wie sie aussieht.",Sie ist irgendwie kurz.
175,she's kind of short.,what height is she?,Sie ist irgendwie kurz.,Welche Höhe ist sie?
176,what height is she?,she's probably about five feet.,Welche Höhe ist sie?,Sie ist wahrscheinlich etwa fünf Fuß.
177,she's probably about five feet.,"that's nice, but tell me what she looks like.",Sie ist wahrscheinlich etwa fünf Fuß.,"Das ist schön, aber sagen Sie mir, wie sie aussieht."
178,"that's nice, but tell me what she looks like.",the first thing i noticed was her beautiful brown eyes.,"Das ist schön, aber sagen Sie mir, wie sie aussieht.",ich habe es mit ihren schönen braunen Augen zu tun.
179,the first thing i noticed was her beautiful brown eyes.,i think i might've bumped into her before.,ich habe es mit ihren schönen braunen Augen zu tun.,"ich glaube, ich hätte schon einmal in sie geraten."
180,i think i might've bumped into her before.,are you telling me that you've seen her before?,"ich glaube, ich hätte schon einmal in sie geraten.","erzählen Sie mir, dass Sie sie schon gesehen haben?"
181,are you telling me that you've seen her before?,i believe so.,"erzählen Sie mir, dass Sie sie schon gesehen haben?","Ich glaube, das ist ein guter Grund."
182,have you met the new girl?,no. have you?,Haben Sie das neue Mädchen kennen gelernt?,"Nein, haben Sie?"
183,no. have you?,she's one of the prettiest girls at the school.,"Nein, haben Sie?",Sie ist eines der schönsten Mädchen in der Schule.
